vno, mno, fno, vdate
1002,,10,2025-09-05 01:00:47
1003,,8,2025-09-05 01:01:19
1004,,3,2025-09-05 01:01:38
1005,,10,2025-09-05 01:07:30
1006,1,7,2025-09-05 01:07:48
1007,1,10,2025-09-05 01:08:29
1008,,10,2025-09-05 01:11:58
1009,1,7,2025-09-05 01:56:56
1010,,9,2025-09-05 14:57:36
1011,1,2,2025-09-05 15:48:40
1012,1,2,2025-09-05 15:51:02
1013,1,2,2025-09-05 15:55:02
1014,1,2,2025-09-05 15:55:02
1015,1,2,2025-09-05 15:55:02
1016,1,2,2025-09-05 15:55:02
1017,1,2,2025-09-05 15:55:42
1018,2,7,2025-09-05 16:00:39
1019,1,2,2025-09-05 16:00:55
1020,2,12,2025-09-05 16:01:26
1021,2,1,2025-09-05 16:01:38
1022,2,8,2025-09-05 16:01:57
1023,2,5,2025-09-05 16:45:48
1024,2,3,2025-09-05 16:46:29
1025,1,2,2025-09-05 16:47:20
1026,,10,2025-09-05 16:48:17
